timestamp,CylinderBorePressure,CylinderRodPressure,RotationCWPressure,RotationCCWPressure,MotionX,MotionY,MotionZ,StringPotV,event,start
08:22.1,291.53,761.45,72.52,59.47,-1.0842,-0.0546,-0.1131,1.623,cut,08:22.1
08:22.1,291.53,279.92,72.52,59.47,-1.0842,-0.0546,-0.1131,1.623,cut,08:22.1
08:22.2,310.38,279.92,72.52,59.47,-1.0842,-0.0546,-0.1131,1.623,cut,08:22.1
08:22.2,310.38,245.11,72.52,59.47,-1.0842,-0.0546,-0.1131,1.623,cut,08:22.1
08:22.3,330.69,245.11,72.52,59.47,-1.0842,-0.0546,-0.1131,1.623,cut,08:22.1
08:22.3,330.69,252.37,72.52,59.47,-1.0842,-0.0546,-0.1131,1.623,cut,08:22.1
08:22.4,349.54,252.37,72.52,59.47,-1.0842,-0.0546,-0.1131,1.623,cut,08:22.1
08:22.4,349.54,258.17,72.52,59.47,-1.0842,-0.0546,-0.1131,1.623,cut,08:22.1
08:22.8,355.34,258.17,72.52,59.47,-1.0842,-0.0546,-0.1131,1.623,cut,08:22.1
08:22.9,361.14,258.17,72.52,59.47,-1.0842,-0.0546,-0.1131,1.623,cut,08:22.1
08:22.9,361.14,263.97,72.52,59.47,-1.0842,-0.0546,-0.1131,1.623,cut,08:22.1
08:23.1,361.14,263.97,72.52,59.47,-1.0842,-0.0546,-0.1131,2.783,cut,08:22.1
08:23.6,369.85,263.97,72.52,59.47,-1.0842,-0.0546,-0.1131,2.783,cut,08:22.1
08:23.7,375.65,263.97,72.52,59.47,-1.0842,-0.0546,-0.1131,2.783,cut,08:22.1
08:23.7,375.65,269.77,72.52,59.47,-1.0842,-0.0546,-0.1131,2.783,cut,08:22.1
08:23.9,375.65,269.77,72.52,59.47,-1.0842,-0.0546,-0.1131,3.927,cut,08:22.1
08:24.5,381.45,269.77,72.52,59.47,-1.0842,-0.0546,-0.1131,3.927,cut,08:22.1
08:24.7,381.45,269.77,72.52,59.47,-1.0842,-0.0546,-0.1131,5.096,cut,08:22.1
08:25.3,480.07,269.77,72.52,59.47,-1.0842,-0.0546,-0.1131,5.096,cut,08:22.1
08:25.5,480.07,269.77,72.52,59.47,-1.0842,-0.0546,-0.1131,6.253,cut,08:22.1
08:25.9,480.07,269.77,72.52,59.47,-1.0842,-0.0546,-0.1131,6.253,cut,08:22.1
08:26.2,480.07,245.11,72.52,59.47,-1.0842,-0.0546,-0.1131,6.253,cut,08:22.1
08:26.4,480.07,245.11,72.52,59.47,-1.0842,-0.0546,-0.1131,7.347,cut,08:22.1
08:26.9,480.07,245.11,78.32,59.47,-1.0842,-0.0546,-0.1131,7.347,cut,08:22.1
