CylinderBorePressure,CylinderRodPressure,RotationCWPressure,RotationCCWPressure,CylinderTemperature,RotationTemperature,AmbientTemperature,MotionX,MotionY,MotionZ,MotionMax,Latitude,Longitude,timestamp,event,start
730.99,2030.53,0,0,152.6,0,117.05,-0.608,-0.656,-0.16,-0.656,45.569365,-94.148288,4/23/2018 20:12:18.750,sort,4/23/2018 20:12:18.750
838.32,1412.67,0,0,152.6,0,117.05,-0.608,-1.152,-0.464,-1.152,45.569365,-94.148288,4/23/2018 20:12:19.000,sort,4/23/2018 20:12:18.750
599.01,1566.41,0,0,152.6,0,117.05,-0.64,-0.848,0.016,-0.848,45.569365,-94.148288,4/23/2018 20:12:19.166,sort,4/23/2018 20:12:18.750
787.55,2153.81,0,0,152.6,0,117.05,-0.608,-0.656,-0.16,-0.656,45.569365,-94.148288,4/23/2018 20:12:19.332,sort,4/23/2018 20:12:18.750
613.51,1414.12,0,0,152.6,0,117.05,-0.64,-0.848,0.016,-0.848,45.569365,-94.148288,4/23/2018 20:12:19.498,sort,4/23/2018 20:12:18.750
755.65,2058.08,0,0,152.6,0,117.05,-0.496,-1.2,-0.656,-1.2,45.569365,-94.148288,4/23/2018 20:12:19.664,sort,4/23/2018 20:12:18.750
726.64,1904.34,0,0,152.6,0,117.05,-0.64,-0.848,0.016,-0.848,45.569365,-94.148288,4/23/2018 20:12:19.830,sort,4/23/2018 20:12:18.750
630.91,107.33,0,0,152.6,0,117.05,-0.464,-0.72,-0.128,-0.72,45.569365,-94.148288,4/23/2018 20:12:20.000,sort,4/23/2018 20:12:18.750
648.32,98.63,0,0,152.6,0,117.05,-0.752,-0.912,-0.096,-0.912,45.569365,-94.148288,4/23/2018 20:12:20.166,sort,4/23/2018 20:12:18.750
1079.08,159.54,0,0,152.6,0,117.05,-0.608,-1.152,-0.464,-1.152,45.569365,-94.148288,4/23/2018 20:12:20.332,sort,4/23/2018 20:12:18.750
562.75,107.33,0,0,152.6,0,117.05,-0.304,-0.864,-0.656,-0.864,45.569365,-94.148288,4/23/2018 20:12:20.498,sort,4/23/2018 20:12:18.750
620.76,98.63,0,0,152.6,0,117.05,-0.304,-0.864,-0.656,-0.864,45.569365,-94.148288,4/23/2018 20:12:20.664,sort,4/23/2018 20:12:18.750
1424.27,89.92,0,0,152.6,0,117.05,-0.448,-1.056,-0.832,-1.056,45.569365,-94.148288,4/23/2018 20:12:20.830,sort,4/23/2018 20:12:18.750
95.72,107.33,0,0,152.6,0,117.05,-0.464,-0.72,-0.128,-0.72,45.569365,-94.148288,4/23/2018 20:12:21.000,sort,4/23/2018 20:12:18.750
246.56,107.33,0,0,152.6,0,117.05,-0.464,-0.72,-0.128,-0.72,45.569365,-94.148288,4/23/2018 20:12:21.250,sort,4/23/2018 20:12:18.750
97.18,107.33,0,0,152.6,0,117.05,-0.464,-0.72,-0.128,-0.72,45.569365,-94.148288,4/23/2018 20:12:21.500,sort,4/23/2018 20:12:18.750
317.63,107.33,0,0,152.6,0,117.05,-0.464,-0.72,-0.128,-0.72,45.569365,-94.148288,4/23/2018 20:12:21.750,sort,4/23/2018 20:12:18.750
114.58,107.33,0,0,152.6,0,117.05,-0.464,-0.72,-0.128,-0.72,45.569365,-94.148288,4/23/2018 20:12:22.000,sort,4/23/2018 20:12:18.750
89.92,107.33,0,0,152.6,0,117.05,-0.464,-0.72,-0.128,-0.72,45.569365,-94.148288,4/23/2018 20:12:22.166,sort,4/23/2018 20:12:18.750
136.34,107.33,0,0,152.6,0,117.05,-0.464,-0.72,-0.128,-0.72,45.569365,-94.148288,4/23/2018 20:12:22.332,sort,4/23/2018 20:12:18.750
87.02,107.33,0,0,152.6,0,117.05,-0.464,-0.72,-0.128,-0.72,45.569365,-94.148288,4/23/2018 20:12:22.498,sort,4/23/2018 20:12:18.750
104.43,107.33,0,0,152.6,0,117.05,-0.464,-0.72,-0.128,-0.72,45.569365,-94.148288,4/23/2018 20:12:22.664,sort,4/23/2018 20:12:18.750
137.79,107.33,0,0,152.6,0,117.05,-0.464,-0.72,-0.128,-0.72,45.569365,-94.148288,4/23/2018 20:12:22.830,sort,4/23/2018 20:12:18.750
65.27,107.33,0,0,152.6,0,117.05,-0.56,-1.136,-0.208,-1.136,45.569365,-94.148288,4/23/2018 20:12:23.000,sort,4/23/2018 20:12:18.750
53.66,107.33,0,0,152.6,0,117.05,-0.56,-1.136,-0.208,-1.136,45.569365,-94.148288,4/23/2018 20:12:23.250,sort,4/23/2018 20:12:18.750
