CylinderBorePressure,CylinderRodPressure,RotationCWPressure,RotationCCWPressure,CylinderTemperature,RotationTemperature,AmbientTemperature,MotionX,MotionY,MotionZ,MotionMax,Latitude,Longitude,timestamp,event,start
539.54,1479.38,0,0,183.2,0,127.85,-0.384,-0.528,0.128,-0.528,45.569508,-94.148372,4/23/2018 21:00:40.200,cut,4/23/2018 21:00:40.200
571.45,2491.75,0,0,183.2,0,127.85,-0.8,-0.416,-0.544,-0.8,45.569508,-94.148372,4/23/2018 21:00:40.400,cut,4/23/2018 21:00:40.200
2195.87,1666.48,0,0,183.2,0,127.85,-0.528,-0.96,-1.36,-1.36,45.569508,-94.148372,4/23/2018 21:00:40.600,cut,4/23/2018 21:00:40.200
1955.11,1831.83,0,0,183.2,0,127.85,-0.672,-0.736,0.24,-0.736,45.569508,-94.148372,4/23/2018 21:00:40.800,cut,4/23/2018 21:00:40.200
713.59,1886.94,0,0,185,0,127.85,-0.608,-0.624,-0.4,-0.624,45.569508,-94.148372,4/23/2018 21:00:41.000,cut,4/23/2018 21:00:40.200
556.94,1576.56,0,0,183.2,0,127.85,-0.384,-0.528,0.128,-0.528,45.569508,-94.148372,4/23/2018 21:00:41.250,cut,4/23/2018 21:00:40.200
680.23,1897.09,0,0,185,0,127.85,-0.848,-0.992,-1.072,-1.072,45.569508,-94.148372,4/23/2018 21:00:41.500,cut,4/23/2018 21:00:40.200
744.04,2020.37,0,0,185,0,127.85,-0.608,-0.624,-0.4,-0.624,45.569508,-94.148372,4/23/2018 21:00:41.750,cut,4/23/2018 21:00:40.200
1166.1,1949.31,0,0,185,0,127.85,-0.64,-0.864,0.32,-0.864,45.569508,-94.148372,4/23/2018 21:00:42.000,cut,4/23/2018 21:00:40.200
1140,1988.47,0,0,185,0,127.85,-0.368,-0.56,1.024,1.024,45.569508,-94.148372,4/23/2018 21:00:42.250,cut,4/23/2018 21:00:40.200
1166.1,1949.31,0,0,185,0,127.85,-0.416,-0.784,-0.368,-0.928,45.569508,-94.148372,4/23/2018 21:00:42.500,cut,4/23/2018 21:00:40.200
1166.1,1949.31,0,0,185,0,127.85,-0.576,-0.848,0.304,-0.848,45.569508,-94.148372,4/23/2018 21:00:42.750,cut,4/23/2018 21:00:40.200
1119.69,1711.44,0,0,185,0,127.85,-0.64,-0.864,0.32,-0.864,45.569508,-94.148372,4/23/2018 21:00:43.000,cut,4/23/2018 21:00:40.200
451.07,123.28,0,0,185,0,127.85,-0.64,-0.864,0.32,-0.864,45.569508,-94.148372,4/23/2018 21:00:43.333,cut,4/23/2018 21:00:40.200
519.23,601.91,0,0,185,0,127.85,-0.64,-0.864,0.32,-0.864,45.569508,-94.148372,4/23/2018 21:00:43.666,cut,4/23/2018 21:00:40.200
4401.89,118.93,0,0,185,0,127.85,0.304,-1.136,-0.464,-1.136,45.569508,-94.148372,4/23/2018 21:00:44.000,cut,4/23/2018 21:00:40.200
2052.28,111.68,0,0,185,0,127.85,-0.544,-0.656,-0.016,-0.656,45.569508,-94.148372,4/23/2018 21:00:44.200,cut,4/23/2018 21:00:40.200
1489.54,104.43,0,0,185,0,127.85,-0.64,-0.864,0.32,-0.864,45.569508,-94.148372,4/23/2018 21:00:44.400,cut,4/23/2018 21:00:40.200
745.49,134.89,0,0,185,0,127.85,-0.544,-0.656,-0.016,-0.656,45.569508,-94.148372,4/23/2018 21:00:44.600,cut,4/23/2018 21:00:40.200
477.17,116.03,0,0,185,0,127.85,-0.544,-0.656,-0.016,-0.656,45.569508,-94.148372,4/23/2018 21:00:44.800,cut,4/23/2018 21:00:40.200
1741.9,195.8,0,0,185,0,127.85,-0.544,-0.864,0.08,-0.864,45.569508,-94.148372,4/23/2018 21:00:45.000,cut,4/23/2018 21:00:40.200
1715.8,181.3,0,0,185,0,127.85,-0.544,-0.864,0.08,-0.864,45.569508,-94.148372,4/23/2018 21:00:45.250,cut,4/23/2018 21:00:40.200
1728.85,185.65,0,0,185,0,127.85,0.016,-0.736,-0.32,-0.736,45.569508,-94.148372,4/23/2018 21:00:45.500,cut,4/23/2018 21:00:40.200
